# ratio_B=0.7
# ratio_C=0.3
# T_barrido=11.0
# n_shots=1000
# A_values=[1.0, 4.0, 7.0, 10.0, 13.0, 16.0, 19.0, 22.0, 25.0, 28.0, 31.0, 34.0, 37.0, 40.0, 43.0, 46.0, 49.0, 52.0, 55.0, 58.0, 61.0, 64.0, 67.0, 70.0, 73.0, 76.0, 79.0, 82.0, 85.0, 88.0, 91.0, 94.0, 97.0]
grafo,A,P_exito,tiempo_s
P3,1.0,0.183000,0.0491
P3,4.0,0.660000,0.0400
P3,7.0,0.706000,0.0435
P3,10.0,0.685000,0.0568
P3,13.0,0.636000,0.0647
P3,16.0,0.624000,0.0729
P3,19.0,0.643000,0.0854
P3,22.0,0.661000,0.0872
P3,25.0,0.674000,0.0973
P3,28.0,0.715000,0.0977
P3,31.0,0.709000,0.0995
P3,34.0,0.691000,0.1094
P3,37.0,0.707000,0.1177
P3,40.0,0.701000,0.1263
P3,43.0,0.753000,0.1965
P3,46.0,0.746000,0.1536
P3,49.0,0.755000,0.1398
P3,52.0,0.742000,0.1477
P3,55.0,0.737000,0.1558
P3,58.0,0.758000,0.1615
P3,61.0,0.756000,0.1826
P3,64.0,0.786000,0.1899
P3,67.0,0.773000,0.1789
P3,70.0,0.760000,0.2072
P3,73.0,0.762000,0.6427
P3,76.0,0.753000,0.2153
P3,79.0,0.799000,0.2139
P3,82.0,0.788000,0.2071
P3,85.0,0.799000,0.2219
P3,88.0,0.794000,0.2312
P3,91.0,0.792000,0.2425
P3,94.0,0.808000,0.2414
P3,97.0,0.783000,0.2549
P4,1.0,0.421000,0.0366
P4,4.0,0.200000,0.0472
P4,7.0,0.535000,0.0531
P4,10.0,0.638000,0.0674
P4,13.0,0.621000,0.0752
P4,16.0,0.752000,0.0957
P4,19.0,0.774000,0.1065
P4,22.0,0.789000,0.1115
P4,25.0,0.865000,0.1609
P4,28.0,0.859000,0.1452
P4,31.0,0.900000,0.1461
P4,34.0,0.932000,0.1446
P4,37.0,0.921000,0.1874
P4,40.0,0.955000,0.1739
P4,43.0,0.964000,0.1789
P4,46.0,0.969000,0.2049
P4,49.0,0.980000,0.2164
P4,52.0,0.976000,0.2233
P4,55.0,0.986000,0.2437
P4,58.0,0.982000,0.2629
P4,61.0,0.989000,0.4535
P4,64.0,0.989000,0.3210
P4,67.0,0.991000,0.3195
P4,70.0,0.992000,0.3134
P4,73.0,0.998000,0.3069
P4,76.0,0.998000,0.3575
P4,79.0,0.999000,0.4828
P4,82.0,0.998000,0.5296
P4,85.0,0.996000,0.3976
P4,88.0,0.999000,0.6153
P4,91.0,1.000000,0.5386
P4,94.0,0.996000,0.6012
P4,97.0,0.999000,0.3566
P5,1.0,0.349000,0.0441
P5,4.0,0.340000,0.0521
P5,7.0,0.446000,0.0609
P5,10.0,0.485000,0.0745
P5,13.0,0.439000,0.0953
P5,16.0,0.472000,0.1228
P5,19.0,0.533000,0.1231
P5,22.0,0.583000,0.1345
P5,25.0,0.619000,0.1515
P5,28.0,0.609000,0.1550
P5,31.0,0.605000,0.1661
P5,34.0,0.609000,0.2479
P5,37.0,0.634000,0.2643
P5,40.0,0.655000,0.2321
P5,43.0,0.674000,0.2878
P5,46.0,0.671000,0.2734
P5,49.0,0.711000,0.2715
P5,52.0,0.680000,0.3037
P5,55.0,0.680000,0.3219
P5,58.0,0.714000,0.3697
P5,61.0,0.715000,0.5418
P5,64.0,0.757000,0.4218
P5,67.0,0.768000,0.4394
P5,70.0,0.725000,0.4445
P5,73.0,0.737000,0.4810
P5,76.0,0.747000,0.4930
P5,79.0,0.748000,0.5109
P5,82.0,0.792000,0.5241
P5,85.0,0.789000,0.5575
P5,88.0,0.801000,0.5607
P5,91.0,0.806000,0.5777
P5,94.0,0.789000,0.6136
P5,97.0,0.794000,0.7001
P6,1.0,0.316000,0.0428
P6,4.0,0.522000,0.0574
P6,7.0,0.336000,0.0783
P6,10.0,0.497000,0.0880
P6,13.0,0.529000,0.1327
P6,16.0,0.568000,0.1596
P6,19.0,0.650000,0.1898
P6,22.0,0.721000,0.2002
P6,25.0,0.767000,0.2374
P6,28.0,0.784000,0.2317
P6,31.0,0.026000,0.2772
P6,34.0,0.822000,0.3166
P6,37.0,0.817000,0.3257
P6,40.0,0.831000,0.3496
P6,43.0,0.865000,0.4838
P6,46.0,0.864000,0.4447
P6,49.0,0.886000,0.7832
P6,52.0,0.912000,0.8189
P6,55.0,0.928000,0.7430
P6,58.0,0.925000,0.8042
P6,61.0,0.936000,0.8561
P6,64.0,0.936000,0.8732
P6,67.0,0.001000,0.8444
P6,70.0,0.966000,0.8894
P6,73.0,0.955000,0.9609
P6,76.0,0.959000,0.9733
P6,79.0,0.969000,1.0149
P6,82.0,0.001000,0.9817
P6,85.0,0.975000,1.0621
P6,88.0,0.980000,1.1074
P6,91.0,0.979000,1.1353
P6,94.0,0.974000,1.1611
P6,97.0,0.983000,1.1662
Y,1.0,0.165000,0.0668
Y,4.0,0.241000,0.0831
Y,7.0,0.382000,0.1120
Y,10.0,0.472000,0.1016
Y,13.0,0.534000,0.1104
Y,16.0,0.673000,0.1372
Y,19.0,0.696000,0.1349
Y,22.0,0.790000,0.2616
Y,25.0,0.786000,0.2499
Y,28.0,0.834000,0.2113
Y,31.0,0.842000,0.4799
Y,34.0,0.875000,0.3210
Y,37.0,0.899000,0.3002
Y,40.0,0.915000,0.3442
Y,43.0,0.944000,0.3684
Y,46.0,0.951000,0.3884
Y,49.0,0.964000,0.4116
Y,52.0,0.979000,0.4505
Y,55.0,0.975000,0.4542
Y,58.0,0.981000,0.5326
Y,61.0,0.983000,0.4976
Y,64.0,0.979000,0.4628
Y,67.0,0.987000,0.5355
